Column1,Reviews,P or N
203,넘 고기 종류만 먹이는것 같아 섞에 먹일려고 구매했네요,87.30% 확률로 긍정 리뷰입니다.
204,원래 먹던 사료와 믹스해줬더니은근 잘먹는 우리두찌??,95.98% 확률로 긍정 리뷰입니다.
205,알러지때문에 야채사료시켰는데다른 야채사료보다 잘먹어요,85.35% 확률로 긍정 리뷰입니다.
206,상품 잘 받았습니다. 배손도빠르고 저렴하고 나무 좋네요,98.19% 확률로 긍정 리뷰입니다.
207,잘먹어요~ 고기포함된 사료보다 응가를 덜 싸는거 같아요,98.31% 확률로 긍정 리뷰입니다.
208,곡물이라 안먹으면 어쩌나 걱정햇는데 아주 잘먹어요 !,98.79% 확률로 긍정 리뷰입니다.
209,알레르기있는우리애한테잘먹이고 있습니다 가격도저렴하고요,98.36% 확률로 긍정 리뷰입니다.
210,체중감량이 중요헌 강아지는 이 사료는 적합한거 같아요,96.26% 확률로 긍정 리뷰입니다.
211,계속 먹이고 있어요!알러지 잡는데에 너무 좋아요!,99.23% 확률로 긍정 리뷰입니다.
212,다이어트 필요해서 이 사료 선택했는데 잘 먹네요~^^,97.86% 확률로 긍정 리뷰입니다.
213,처음 먹여봐여항상 먹이던 것보다는 조금 더 크네요~,71.68% 확률로 긍정 리뷰입니다.
214,다이어트 필요가 있어서 사료 바f는데 괜찮은거 같아요,98.35% 확률로 긍정 리뷰입니다.
215,애가 잘먹고 다이어트에도 도움이되어서 계속 먹일려규요,99.16% 확률로 긍정 리뷰입니다.
216,살빼려고 샀어요 아직 살빠지는건 잘모르겠지만 잘먹어요,91.03% 확률로 긍정 리뷰입니다.
217,공갈빵처럼 달 부서져서이빨약한 노견에게도 좋아요.,81.65% 확률로 긍정 리뷰입니다.
218,늘 먹던거라 재구매합니다 라온이 다올이의 주식입니다,98.01% 확률로 긍정 리뷰입니다.
219,항상 먹이는사료예요 이거먹이고 눈물다잡혀서 좋아요~,98.25% 확률로 긍정 리뷰입니다.
220,살찌는것 같아서 야채들은걸로 골랐는데 잘먹고 있어요,96.73% 확률로 긍정 리뷰입니다.
221,먹여볼까 해서 샘플 구매했어요 잘 먹어서 다행이에요,98.83% 확률로 긍정 리뷰입니다.
222,저희는 잘 안먹어서 코코넛 오일 뿌려주니 잘먹었어요,97.46% 확률로 긍정 리뷰입니다.
223,애가 잘 먹어요 안씹어먹는놈인데 잘 씹어먹어요!!,98.64% 확률로 긍정 리뷰입니다.
224,살쩌서 다이어트용으로 주문했어요..잘 먹어주길..,97.22% 확률로 긍정 리뷰입니다.
225,루피가 각질도심하고 다이어트중인데 아주 딱입니다!,98.73% 확률로 긍정 리뷰입니다.
226,아이들이 좋아하는 거라 재구매했네요 추천합니다,98.82% 확률로 긍정 리뷰입니다.
227,제일 잘먹어서 본품 입고 알림 대기 중이예요 :),58.52% 확률로 긍정 리뷰입니다.
228,방구냄새가 좀 독하긴하지만 똥도잘싸고 조은거같어요,96.64% 확률로 긍정 리뷰입니다.
229,빠르고 저렴하게 잘 샀습니다다음에 또 주문할게요,98.90% 확률로 긍정 리뷰입니다.
230,꼼꼼하게 포장해서 잘받았습니다 ㆍ감사합나다 !,94.39% 확률로 긍정 리뷰입니다.
231,할인가격으로 저렴하게 구입했어어요 애들도 잘먹어요,98.71% 확률로 긍정 리뷰입니다.
232,이거 진짜 잘먹어요! 그냥 주면 다 먹어요 ㅋㅋㅋ,93.54% 확률로 긍정 리뷰입니다.
233,매일매일 너무 잘먹어서 줄때마다 뿌듯뿌듯합니다!,98.53% 확률로 긍정 리뷰입니다.
234,꾸준히 잘먹어요 좋아한다 양많아요 냄새안나고요,96.67% 확률로 긍정 리뷰입니다.
235,여채로만 만들어서 그런지 냄새가 고소하니 좋아요,97.95% 확률로 긍정 리뷰입니다.
236,맛나게 잘먹어요 굿굿굿구~~웃 애들좋아해요,98.81% 확률로 긍정 리뷰입니다.
237,늘 먹이는거에요~알러지 있는 아이들에게 좋아요!,98.54% 확률로 긍정 리뷰입니다.
238,매번시키던거 좋아요 ㅎㅎ 응가냄새도 안나고!!!,97.88% 확률로 긍정 리뷰입니다.
239,처음 먹여보는거라 걱정했는데 맛있게 잘 먹어요!,99.11% 확률로 긍정 리뷰입니다.
240,알러지때문에 성견 되고 난 후에는 이것만 먹어요,84.78% 확률로 긍정 리뷰입니다.
241,사료 바꿔주려고 알러지 테스트 중인데 잘먹어요,98.39% 확률로 긍정 리뷰입니다.
242,베지터리언은 안좋아할거 같지만..샘플구매해봤어요,93.88% 확률로 긍정 리뷰입니다.
243,늘 잘먹는 사료에요 다이어트 사료에요 섞여먹여요,98.28% 확률로 긍정 리뷰입니다.
244,쌤플은 잘먹어용 ㅎㅎ다먹이고 한번 사줘야갯어용,97.27% 확률로 긍정 리뷰입니다.
245,이건 안먹네요. 요즘 입맛이 까다로워져서 그런듯,99.44% 확률로 부정 리뷰입니다.
246,저희 강아지는 잘 먹어요 다이어트에도 도윰 되요,98.66% 확률로 긍정 리뷰입니다.
247,아직 먹여보지는 않았지만 울애기 잘먹을거같아요,98.22% 확률로 긍정 리뷰입니다.
248,몇년째 먹여요^^ 펫프가 젤 저렴~~ 감사해요,98.29% 확률로 긍정 리뷰입니다.
249,아이의 피부가 엄청 좋아졌어요. 빠른 배송,98.51% 확률로 긍정 리뷰입니다.
250,역시 로얄캐닌ㅜㅜ 사료 안먹을땐 로얄캐닌이네요,97.26% 확률로 긍정 리뷰입니다.
251,편식하는 우리 댕댕이들이 제일 좋아하는 사료,97.18% 확률로 긍정 리뷰입니다.
252,애들 잘 먹어요 환장합니다 아주 쿵따리ㅜ샤바라,97.52% 확률로 긍정 리뷰입니다.
253,재구매합니다 또했어요 주식이다보니 추천합니다,98.42% 확률로 긍정 리뷰입니다.
254,개별포장되어있어서 눅눅하지않게 먹일수있어좋아용,99.62% 확률로 긍정 리뷰입니다.
255,섞어서 먹이려고 구매했네요 잘먹기를 바라머~,93.60% 확률로 긍정 리뷰입니다.
256,아주 잘먹어요체중도 줄고 응아 냄새도 안나요,96.99% 확률로 긍정 리뷰입니다.
257,잘받았습니다 !! 애들이 잘 먹어서 다행이에욤,97.17% 확률로 긍정 리뷰입니다.
258,두번째 구입해서 먹이고 있는데요잘 먹어요!,98.47% 확률로 긍정 리뷰입니다.
259,너무잘먹어요^^우리애가 밥을 이리잘먹는줄...,93.53% 확률로 긍정 리뷰입니다.
260,처음 먹여 보는거라서 잘 관찰해봐야 겠어요.,97.27% 확률로 긍정 리뷰입니다.
261,언제나 잘먹어서 친구한테도 추천해줬어요 ㅎㅎ,99.15% 확률로 긍정 리뷰입니다.
262,우리집 멍뭉이가 항상 시켜먹는 사료입니다!,97.81% 확률로 긍정 리뷰입니다.
263,강쥐들 응가냄새가 없어서 좋아요잘 먹어용,99.24% 확률로 긍정 리뷰입니다.
264,항상 잘먹고있습니당 우리 애기가 좋아해용~~,98.93% 확률로 긍정 리뷰입니다.
265,알러지도 안일어나고 잘먹고 응가도 잘합니다,94.44% 확률로 긍정 리뷰입니다.
266,만족해요. 석달은 먹는것같아요 기호성이N아요,94.03% 확률로 긍정 리뷰입니다.
267,아직 급여전인데 알러지반응 보려고 주문했어요,94.51% 확률로 긍정 리뷰입니다.
268,체중조절을 해줘야 해서 항상 이사료만 먹여요,93.63% 확률로 긍정 리뷰입니다.
269,좋아요~~~~~~~~~~~~~~~~~~~~,64.89% 확률로 긍정 리뷰입니다.
270,먹여보진 않았지만 후기좋아서 기대중입니다!,97.63% 확률로 긍정 리뷰입니다.
271,너무 좋아요ㅎㅎㅎ 강아지가 제일 잘 먹어요,98.28% 확률로 긍정 리뷰입니다.
272,사료 샘플로 테스트 할 수 있어서 좋네요,98.59% 확률로 긍정 리뷰입니다.
273,먹이던 사료입니다~배송이 잘와서 좋았어요,98.02% 확률로 긍정 리뷰입니다.
274,앙먹어요 ㅠㅜㅜㅜ입맛이팜....뭘먹여야할지,66.64% 확률로 긍정 리뷰입니다.
275,늘 먹이는 사료에요 빠른 배송 감사합니다,97.80% 확률로 긍정 리뷰입니다.
276,빠른배송 감사합니다개별포장이라 좋습니다~,97.48% 확률로 긍정 리뷰입니다.
277,타사이트보다 월등히 저렴해서 너무행복합니다,97.76% 확률로 긍정 리뷰입니다.
278,애정하는 아이템! 알러지도 줄고 좋아요!!,94.72% 확률로 긍정 리뷰입니다.
279,개별포장도좋고 기호성도 꽤 괜찮은거같네요,98.86% 확률로 긍정 리뷰입니다.
280,단백질 함량 낮은 사료라 먹이기 괜찮아요,94.67% 확률로 긍정 리뷰입니다.
281,아이들이 잘먹어 재구매합니다 또구매할께요,98.94% 확률로 긍정 리뷰입니다.
282,장약하고 소화력 약한 강아지 추천입니다!,81.44% 확률로 부정 리뷰입니다.
283,항상잘먹는 거예요.감사합니다 ㅎㅎ 그럼,95.93% 확률로 긍정 리뷰입니다.
284,잘 먹이고 있어요~~~~자주해주세요~~~,96.08% 확률로 긍정 리뷰입니다.
285,오도독 오도독 잘먹어요ㅜㅜ소리가 귀여워요,97.42% 확률로 긍정 리뷰입니다.
286,테스트 할 때 관심도 없었다는 .ㅠㅠㅠㅠ,86.05% 확률로 부정 리뷰입니다.
287,잘먹고 있어요~~오늘도 주문 예저ㅇ입니당,93.41% 확률로 긍정 리뷰입니다.
288,기존 사료에 섞어주는데 엄청 잘 먹어요.,98.63% 확률로 긍정 리뷰입니다.
289,늘 먹는 사료라서 떨어지기전에 늘구입해요,98.38% 확률로 긍정 리뷰입니다.
290,우리 강쥐에게 좋은 것 같아 구매합니다,98.01% 확률로 긍정 리뷰입니다.
291,기호성도 좋고 응가냄새도 덜한것 같아요!,97.59% 확률로 긍정 리뷰입니다.
292,라온이 다올이의 주식이라 재구매했어요,97.53% 확률로 긍정 리뷰입니다.
293,배송도빨리도착할줄몰랐어요.최고임니다,99.43% 확률로 긍정 리뷰입니다.
294,늘먹이는거예요~~♡잘먹어서 좋아요!!,98.43% 확률로 긍정 리뷰입니다.
295,사료 재구매합니다 사료로 쓰고 있어서요,97.73% 확률로 긍정 리뷰입니다.
296,너무 좋아해요 !!!!!!!!!!!!!,95.03% 확률로 긍정 리뷰입니다.
297,안 먹던 사료를 잘 먹어요 이거 덕분에,92.74% 확률로 긍정 리뷰입니다.
298,"입 까다로운 울 강쥐,,, 안먹어요ㅠㅠ",63.71% 확률로 부정 리뷰입니다.
299,배송도 품질도 가격도 만족 F니다!!!,97.87% 확률로 긍정 리뷰입니다.
300,늘 먹이던거라 좋아유ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,99.27% 확률로 긍정 리뷰입니다.
301,가격도 착하고 기호도가 높아서 짱이에여,98.91% 확률로 긍정 리뷰입니다.
302,강아지 다이어트를 위해서 시켜봤어요!,97.84% 확률로 긍정 리뷰입니다.
303,항상 떨어지기전에 주문하는 상품이예요,93.92% 확률로 긍정 리뷰입니다.
304,로나가 매번 먹이는 사료입니다~~♡,97.37% 확률로 긍정 리뷰입니다.
305,비싸지만 값을해요 최고입니다!!!!!,98.02% 확률로 긍정 리뷰입니다.
306,좋습니다!!!알러지도 안올라와요~~~,80.73% 확률로 긍정 리뷰입니다.
307,좋아요 매일 먹이는 사료입니다!!!!,95.93% 확률로 긍정 리뷰입니다.
308,자주 구매합니당 애들이 잘먹어용 ㅎㅎ,99.29% 확률로 긍정 리뷰입니다.
309,아직 안먹여봤는데 잘 먹었음 좋겠네여,91.53% 확률로 긍정 리뷰입니다.
310,유기농 야채사료~너무 맛있게 먹어요~,99.30% 확률로 긍정 리뷰입니다.
311,살빼려고 샀는데 체중 많이 감량했어요,57.38% 확률로 긍정 리뷰입니다.
312,저희강아지는 잘 먹어요 다이어트 최고,98.93% 확률로 긍정 리뷰입니다.
313,잘 먹어요. 응가가 좀 잘 나오는듯?,88.47% 확률로 긍정 리뷰입니다.
314,마번너무 잘먹는둥 이거밖에 안무거요ㅠ,72.85% 확률로 부정 리뷰입니다.
315,잘먹고 잘싸고 알러지반응없어서 좋아요,99.01% 확률로 긍정 리뷰입니다.
316,알러지가 있는 아가들한테 좋은사료에요,96.67% 확률로 긍정 리뷰입니다.
317,늘 먹던거예요 알러지반응없고 좋아요,98.04% 확률로 긍정 리뷰입니다.
318,알러지가있어서 먹게榮쨉 좋네요^^,96.76% 확률로 긍정 리뷰입니다.
319,감사합니다더많이맛있는사료만들어주세요,93.45% 확률로 긍정 리뷰입니다.
320,저렴하고 좋은 상품 감사드립니다.,95.85% 확률로 긍정 리뷰입니다.
321,오랜만에 사료 바꿔중건데 잘먹어요,98.61% 확률로 긍정 리뷰입니다.
322,개별 포장이어서 좋아요 잘 먹어용~,99.00% 확률로 긍정 리뷰입니다.
323,애들이 잘먹어요 살도많이빠졌구요,97.63% 확률로 긍정 리뷰입니다.
324,유기농이라서그런지 믿고 먹일수있어요,98.85% 확률로 긍정 리뷰입니다.
325,알러지가 심해서 채식 사료만 먹여요,72.30% 확률로 부정 리뷰입니다.
326,먼저먹였는데 부드러워서 잘먹네요,97.96% 확률로 긍정 리뷰입니다.
327,유기농이라 믿고 구매. 잘 먹어요,98.77% 확률로 긍정 리뷰입니다.
328,이거만 먹이니 썩 좋아하지 않네요,96.80% 확률로 부정 리뷰입니다.
329,다행이 잘먹어요 :) 아주 좋아요,96.41% 확률로 긍정 리뷰입니다.
330,아이들이잘먹내요 배송도 빠르고,95.45% 확률로 긍정 리뷰입니다.
331,확실히 살은 별로 안찌는구같아요,86.18% 확률로 긍정 리뷰입니다.
332,배변냄새가 많이 줄었어요 ㅎㅎ,94.64% 확률로 긍정 리뷰입니다.
333,살빼려고 샀는데 잘 먹겟죵?-?,97.89% 확률로 긍정 리뷰입니다.
334,애들이 너무 좋아라해요 최고에요,98.45% 확률로 긍정 리뷰입니다.
335,머든 잘먹는 울애기 이것도 순삭,97.65% 확률로 긍정 리뷰입니다.
336,항상 맛있게 잘 먹구 있어요^^,97.99% 확률로 긍정 리뷰입니다.
337,나나아앙마싯어요 머ㅓㅇ무어ㅓ어에,91.72% 확률로 긍정 리뷰입니다.
338,처음 먹는건데 잘 먹어서 좋아요,98.50% 확률로 긍정 리뷰입니다.
339,베지테리언인데도생각보다 잘먹네요,93.17% 확률로 긍정 리뷰입니다.
340,완전 잘먹어요! 재구매해야겠어요,98.51% 확률로 긍정 리뷰입니다.
341,강아지가 잘 먹어요 다행이네용,96.27% 확률로 긍정 리뷰입니다.
342,베지사료끼리 섞어먹이기 좋아여,97.74% 확률로 긍정 리뷰입니다.
343,맛은별로인가보네요ㅠㅠ잘안먹네요,99.81% 확률로 부정 리뷰입니다.
344,늘 먹이던거라 아주아주 마ㄴ족,96.86% 확률로 긍정 리뷰입니다.
345,잘먹어용 첨시켜봤는데 괜찮네여,96.92% 확률로 긍정 리뷰입니다.
346,소화가 잘되는지 엄청 잘먹어요,97.96% 확률로 긍정 리뷰입니다.
347,하나하나 포장되있어서 좋앗어요,98.22% 확률로 긍정 리뷰입니다.
348,샘플로 먹여보려고 신청했어요,96.72% 확률로 긍정 리뷰입니다.
349,아주 잘먹구 재구매 할곱니당,98.87% 확률로 긍정 리뷰입니다.
350,할인해서 저렴하게 잘샀어요,98.91% 확률로 긍정 리뷰입니다.
351,잘먹네요가격도저렴하고좋아요,95.68% 확률로 긍정 리뷰입니다.
352,우리아가가 잘먹어요. 좋아요,98.35% 확률로 긍정 리뷰입니다.
353,항상 먹이는 사료입니당 ㅎㅎ,98.96% 확률로 긍정 리뷰입니다.
354,좋아요 빨리배송와서 좋았어요,94.00% 확률로 긍정 리뷰입니다.
355,다이어트에 아주 좋아요!!!,97.09% 확률로 긍정 리뷰입니다.
356,알갱이가작아서 애들이잘먹어요,95.55% 확률로 긍정 리뷰입니다.
357,너무 잘먹고있어요 감사합니다,95.09% 확률로 긍정 리뷰입니다.
358,너무너무 잘먹는 사료 ㅎㅎㅎ,98.02% 확률로 긍정 리뷰입니다.
359,애기들이 너무 잘 먹어요.,96.37% 확률로 긍정 리뷰입니다.
360,애기가 잘ㅇ억고 좋아해요,97.02% 확률로 긍정 리뷰입니다.
361,그저그러네요 먹다가 말아용,95.03% 확률로 부정 리뷰입니다.
362,빠른배송 너무 감사해요~!,96.48% 확률로 긍정 리뷰입니다.
363,안드세뇨....상전님...,90.48% 확률로 부정 리뷰입니다.
364,굿굿 다이어트에 너무좋아요,97.44% 확률로 긍정 리뷰입니다.
365,먹고 살좀 빠진것같아요.,64.90% 확률로 부정 리뷰입니다.
366,다이어트에 아주조아요!!!,98.38% 확률로 긍정 리뷰입니다.
367,항상 주문하는 제품이에요~,97.72% 확률로 긍정 리뷰입니다.
368,알러지반응없고 좋아요ㅎㅎㅎ,96.09% 확률로 긍정 리뷰입니다.
369,알맹이가 작아서 맘에들어요,97.63% 확률로 긍정 리뷰입니다.
370,베지테리언 기대되네요~!!,60.38% 확률로 부정 리뷰입니다.
371,고소한 냄세가나서 좋아요.,96.16% 확률로 긍정 리뷰입니다.
372,너무 잘 먹어요!ㅎㅎㅎㅎ,97.34% 확률로 긍정 리뷰입니다.
373,애기가 잘먹고 좋아해요,97.07% 확률로 긍정 리뷰입니다.
374,좋아요~!!!!짱짱하게,80.56% 확률로 긍정 리뷰입니다.
375,강아지가 정말 좋아해요,97.29% 확률로 긍정 리뷰입니다.
376,애기가 잘먹어서 좋아요?,97.21% 확률로 긍정 리뷰입니다.
377,기호도짱 가격도짱이에요,98.44% 확률로 긍정 리뷰입니다.
378,꾸준히 먹이고 있습니다!,96.59% 확률로 긍정 리뷰입니다.
379,빠른배송으로 잘왔어요 !,94.94% 확률로 긍정 리뷰입니다.
380,애들이 너무잘먹어요!!,97.13% 확률로 긍정 리뷰입니다.
381,너무너무 잘먹어요 ‘ㅜㅜ,69.62% 확률로 긍정 리뷰입니다.
382,역시나 만족합니다.:),96.65% 확률로 긍정 리뷰입니다.
383,잘 먹음 좋겟네용ㅎㅎㅎ,92.91% 확률로 긍정 리뷰입니다.
384,잘먹어Dㅋㅋㅋㅋㅋㅋㅋㅋ,76.98% 확률로 긍정 리뷰입니다.
385,늘 이거만먹음 개좋아함,96.15% 확률로 긍정 리뷰입니다.
386,항상 먹이던거에요~~,97.44% 확률로 긍정 리뷰입니다.
387,맛있게 잘먹고있습니다,95.61% 확률로 긍정 리뷰입니다.
388,좋아요ㅋㅋㅋㅋㅋㅋㅋㅋ,88.90% 확률로 긍정 리뷰입니다.
389,애기가너무 잘먹어요!,96.37% 확률로 긍정 리뷰입니다.
